region_id,Region Display,region_name,region_type,year,adlt_incar_rt,afford_le030_rct,afford_le080_rct,afford_le120_rct,crime_all_rt,crime_prop_rt,crime_viol_rt,gross_rent_0_1beds,gross_rent_2_3beds,hh_alone_pct,hh_inc_med_adj,hh_inc_own_med_adj,hh_inc_rent_med_adj,hh_u18_pct,hp_first_fhava_pct,hp_first_hi_pct,hp_first_orig,hp_first_orig_lmi_app_pct,hp_first_orig_lmi_nbhd_pct,hp_first_orig_rt,hpi_1f,hpi_4f,hpi_al,hpi_cn,hpi_ot,income_diversity_ratio,lp_all,lp_fam14condo_initial,lp_fam14condo_rate,lp_fam14condo_repeat,med_r_1f,med_r_4f,med_r_cn,med_r_ot,nb_permit_res_units,pct_prof_ela,pct_prof_math,pfn_fam14condo,pfn_fam14condo_rate,pop_65p_pct,pop_bornstate_pct,pop_commute_carfree_pct,pop_commute_time_avg,pop_disabled_pct,pop_discon_youth_pct,pop_edu_collp_pct,pop_edu_nohs_pct,pop_foreign_pct,pop_num,pop_pov_65p_pct,pop_pov_pct,pop_pov_u18_pct,pop_race_asian_pct,pop_race_black_pct,pop_race_div_idx,pop_race_hisp_pct,pop_race_white_pct,pop16_laborforce_pct,pop16_unemp_pct,population_density,priv_evic_amt_sought_med_adj,priv_evic_filing_rt,priv_evic_filings,prox_park_pct,prox_subway_pct,rburden_mod_ami_81_120,rburden_mod_ami_le80,rburden_sev_ami_81_120,rburden_sev_ami_le80,refi_hi_pct,refi_orig,refi_orig_rt,rent_asking_med,rent_burden_med,rent_burden_mod_pct,rent_burden_sev_pct,rent_gross_med_adj,rent_gross_recent_med_adj,rent_pct_nycha,reo,serious_viol_rate,shd_420c_props,shd_420c_units,shd_421a_props,shd_421a_units,shd_all_sub_props,shd_all_sub_units,shd_ex_2020_2025_props,shd_ex_2020_2025_units,shd_ex_2026_2035_props,shd_ex_2026_2035_units,shd_ex_2036_later_props,shd_ex_2036_later_units,shd_hud_finins_props,shd_hud_finins_units,shd_hud_pbrap_props,shd_hud_pbrap_units,shd_lihtc_props,shd_lihtc_units,shd_ml_props,shd_ml_units,shd_nyc_prog_props,shd_ph_props,shd_ph_units,total_viol_rate,unit_num,unit_occ_own_pct,unit_occ_rent_sevcrowd_pct,unit_vac_rent_pct,units_cert,volume_1f,volume_4f,volume_al,volume_cn,volume_ot,voucher_pct
606,NYC,New York City,City,2000,"1,340.70",,,,23.1,15.4,7.6,,,,"$60,180 ",,,34.00%,,,,,,,100,100,100,100,100,,"7,351","5,168",9,"1,315","$329,870 ","$184,930 ","$402,900 ","$64,970 ","15,544",,,,,11.70%,,63.80%,40,,,27.40%,,35.90%,"8,008,278",,21.20%,,9.70%,24.50%,0.74,27.00%,35.00%,,9.57%,,,,,,,,,,,,,,,26.20%,,23.70%,"$1,070 ",,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,30.20%,,,"13,603","13,586","13,702","33,454","4,842","1,324",
606,NYC,New York City,City,2001,,,,,20.3,13.6,6.8,,,,,,,,,,,,,,111.6,111.7,112.1,115.1,110.8,,"7,308","5,185",9,"1,379","$358,320 ","$199,690 ","$430,070 ","$70,690 ","15,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,289","13,750","14,158","34,564","5,281","1,375",
606,NYC,New York City,City,2002,,,,,19.3,12.9,6.4,,,,,,,,,,,,,,121.4,122.1,123.6,129.2,129.4,,"7,993","5,701",10,"1,613","$385,010 ","$211,520 ","$470,570 ","$77,980 ","18,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,024","16,917","17,561","44,909","8,430","2,001",
606,NYC,New York City,City,2003,,,,,18.4,12.4,6,,,,,,,,,,,,,,143.8,146.2,143.6,139.2,161.1,,"7,645","5,287",9.4,"1,697","$443,390 ","$248,950 ","$510,620 ","$93,000 ","20,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,192","15,889","16,806","44,976","10,421","1,860",
606,NYC,New York City,City,2004,,,,,17.7,12.1,5.7,,,,,,,,,,,,,,167.2,171.9,168.7,167.2,188.9,,"6,951","4,885",8.4,"1,544","$494,370 ","$280,590 ","$634,670 ","$107,900 ","26,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,47.7,,,,,,,,,,,,,,,,,,,,,,,,212.4,,,,,"19,052","16,643","17,438","46,585","10,650","1,854",
606,NYC,New York City,City,2005,"1,048.20",5.20%,43.10%,76.30%,16.9,11.3,5.6,,,33.10%,"$53,780 ","$87,930 ","$41,010 ",32.70%,0.60%,0.00%,"59,172",5.80%,25.50%,46.8,193.1,202.6,198.2,200.4,221.9,6.1,"6,885","5,023",8.3,"1,400","$546,770 ","$311,400 ","$675,420 ","$125,430 ","29,626",,,,,11.90%,49.50%,67.00%,39.1,,,32.20%,21.00%,36.60%,"7,956,113",20.30%,19.10%,27.70%,11.50%,23.80%,0.73,27.90%,34.50%,62.00%,8.42%,,,,,,,21.60%,31.10%,3.20%,45.60%,0.00%,"59,617",47.2,,31.00%,23.80%,27.90%,"$1,190 ","$1,500 ",,189,63.1,,,,,,,,,,,,,,,,,,,,,,,,313.7,"3,275,412",33.10%,,3.70%,"19,688","17,136","19,451","50,971","11,977","2,407",
606,NYC,New York City,City,2006,"1,086.30",6.50%,52.50%,81.70%,15.8,10.6,5.2,,,33.30%,"$58,580 ","$93,810 ","$44,180 ",32.30%,0.50%,0.00%,"54,856",4.40%,27.90%,42.8,211.3,231.2,219.9,216.2,238.7,6.1,"9,721","7,463",11.5,"1,699","$565,760 ","$333,530 ","$756,240 ","$128,760 ","29,345",,,,,12.10%,49.60%,67.30%,39,,,32.10%,21.30%,37.00%,"8,214,430",19.00%,19.20%,28.20%,11.60%,23.70%,0.73,27.60%,34.80%,62.10%,7.79%,27.3,,,,,,18.10%,29.20%,2.90%,43.90%,0.00%,"54,167",42.3,,30.50%,22.90%,27.90%,"$1,190 ","$1,500 ",,282,60.9,,,,,,,,,,,,,,,,,,,,,,,,305.7,"3,311,120",34.40%,,3.80%,"24,982","16,670","20,761","53,403","13,623","2,349",
606,NYC,New York City,City,2007,"1,216.20",5.70%,47.30%,79.30%,15,9.9,5.1,,,33.40%,"$59,610 ","$94,530 ","$46,040 ",32.20%,0.70%,9.90%,"47,143",24.50%,4.30%,36.3,208.5,228.4,219,225.7,265.1,5.7,"14,539","11,761",17.1,"2,070","$568,770 ","$335,510 ","$828,760 ","$136,980 ","31,813",,,,,12.20%,49.40%,68.10%,39.8,,,32.90%,21.10%,36.80%,"8,274,530",18.40%,18.50%,27.30%,11.70%,23.50%,0.73,27.40%,35.10%,62.20%,7.07%,27.5,,,,,,18.10%,31.00%,2.70%,43.00%,23.10%,"37,926",29.2,,29.90%,23.20%,26.60%,"$1,210 ","$1,540 ",,976,57.7,,,,,,,,,,,,,,,,,,,,,,,,264.7,"3,325,900",33.60%,,3.40%,"25,835","13,169","14,554","45,842","15,907","2,212",
606,NYC,New York City,City,2008,"1,177.60",7.40%,50.90%,78.60%,14.7,9.6,5.1,,,33.50%,"$60,300 ","$96,670 ","$46,510 ",31.60%,5.50%,4.40%,"32,945",7.40%,23.80%,25,191.2,204.8,206.5,229.8,254.2,5.9,"14,842","11,325",16.9,"2,635","$510,650 ","$301,750 ","$868,580 ","$131,620 ","38,015",,,,,12.40%,49.60%,68.30%,39.4,8.40%,,32.70%,21.70%,36.40%,"8,363,710",18.60%,18.20%,26.50%,11.80%,23.30%,0.73,27.70%,35.00%,63.50%,7.21%,27.8,,,,,,17.90%,30.20%,3.70%,43.00%,9.60%,"19,510",14.8,,30.10%,23.20%,26.90%,"$1,230 ","$1,560 ",,"1,886",59.1,,,,,,,,,,,,,,,,,,,,,,,,269.3,"3,350,930",33.80%,,3.70%,"23,356","9,573","10,802","36,418","14,566","1,477",
606,NYC,New York City,City,2009,"1,181.40",7.20%,45.20%,77.50%,13.3,8.6,4.6,,,33.30%,"$58,770 ","$95,090 ","$45,150 ",31.40%,16.10%,2.80%,"24,461",10.60%,20.30%,18.4,174,175.8,183.9,206.5,218.6,5.9,"20,596","15,989",23.2,"3,361","$473,740 ","$268,640 ","$716,380 ","$115,550 ","8,553",,,,,12.10%,49.80%,68.40%,39.1,8.20%,,34.00%,20.80%,35.70%,"8,391,880",18.00%,18.70%,27.10%,11.90%,23.00%,0.73,27.60%,35.30%,63.70%,10.20%,27.9,,,,,,19.80%,30.80%,4.00%,44.20%,2.30%,"33,523",25.2,,30.60%,23.50%,27.50%,"$1,280 ","$1,630 ",,"1,455",63.9,,,,,,,,,,,,,,,,,,,,,,,,272.1,"3,375,630",33.60%,4.00%,3.80%,"23,320","8,138","8,425","26,740","9,308",869,7.10%
